,Seed,School,Season
36,10,Iowa State,2013
37,2,Ohio State,2013
38,9,Wichita State,2013
39,13,La Salle,2013
40,6,Arizona,2013
41,2,Ohio State,2013
42,9,Wichita State,2013
43,2,Ohio State,2013
44,9,Wichita State,2013
45,1,Kansas,2013
46,8,UNC,2013
47,5,VCU,2013
48,4,Michigan,2013
49,11,Minnesota,2013
50,3,Florida,2013
51,7,San Diego State,2013
52,15,Florida Gulf Coast,2013
53,1,Kansas,2013
54,4,Michigan,2013
55,3,Florida,2013
56,15,Florida Gulf Coast,2013
57,4,Michigan,2013
58,3,Florida,2013
59,4,Michigan,2013
60,1,Louisville,2013
61,4,Michigan,2013
62,1,Louisville,2013
0,1,Wichita State,2014
1,8,Kentucky,2014
2,5,Saint Louis,2014
3,4,Louisville,2014
4,11,Tennessee,2014
5,14,Mercer,2014
6,7,Texas,2014
7,2,Michigan,2014
8,8,Kentucky,2014
9,4,Louisville,2014
10,11,Tennessee,2014
11,2,Michigan,2014
12,8,Kentucky,2014
13,2,Michigan,2014
14,8,Kentucky,2014
15,1,Florida,2014
16,9,Pitt,2014
17,12,Stephen F. Austin,2014
18,4,UCLA,2014
19,11,Dayton,2014
20,3,Syracuse,2014
21,10,Stanford,2014
22,2,Kansas,2014
23,1,Florida,2014
24,4,UCLA,2014
25,11,Dayton,2014
26,10,Stanford,2014
27,1,Florida,2014
28,11,Dayton,2014
29,1,Florida,2014
30,1,Virginia,2014
31,8,Memphis,2014
32,12,Harvard,2014
33,4,Michigan State,2014
34,6,UNC,2014
35,3,Iowa State,2014
36,7,UConn,2014
37,2,Villanova,2014
38,1,Virginia,2014
39,4,Michigan State,2014
40,3,Iowa State,2014
41,7,UConn,2014
42,4,Michigan State,2014
43,7,UConn,2014
44,7,UConn,2014
45,1,Arizona,2014
46,8,Gonzaga,2014
47,12,North Dakota State,2014
48,4,San Diego State,2014
49,6,Baylor,2014
50,3,Creighton,2014
51,7,Oregon,2014
52,2,Wisconsin,2014
53,1,Arizona,2014
54,4,San Diego State,2014
55,6,Baylor,2014
56,2,Wisconsin,2014
57,1,Arizona,2014
58,2,Wisconsin,2014
59,2,Wisconsin,2014
60,7,UConn,2014
61,8,Kentucky,2014
62,7,UConn,2014
0,1,Villanova,2015
1,8,NC State,2015
2,5,Northern Iowa,2015
3,4,Louisville,2015
4,11,Dayton,2015
5,3,Oklahoma,2015
6,7,Michigan State,2015
7,2,Virginia,2015
8,8,NC State,2015
9,4,Louisville,2015
10,3,Oklahoma,2015
11,7,Michigan State,2015
12,4,Louisville,2015
13,7,Michigan State,2015
14,7,Michigan State,2015
15,1,Kentucky,2015
16,8,Cincinnati,2015
17,5,West Virginia,2015
18,4,Maryland,2015
19,6,Butler,2015
20,3,Notre Dame,2015
21,7,Wichita State,2015
22,2,Kansas,2015
23,1,Kentucky,2015
24,5,West Virginia,2015
25,3,Notre Dame,2015
26,7,Wichita State,2015
27,1,Kentucky,2015
28,3,Notre Dame,2015
29,1,Kentucky,2015
30,1,Duke,2015
31,8,San Diego State,2015
32,5,Utah,2015
33,4,Georgetown,2015
34,11,UCLA,2015
35,14,Alabama-Birmingham,2015
36,7,Iowa,2015
37,2,Gonzaga,2015
38,1,Duke,2015
39,5,Utah,2015
40,11,UCLA,2015
41,2,Gonzaga,2015
42,1,Duke,2015
43,2,Gonzaga,2015
44,1,Duke,2015
45,1,Wisconsin,2015
46,8,Oregon,2015
47,5,Arkansas,2015
48,4,UNC,2015
49,6,Xavier,2015
50,14,Georgia State,2015
51,10,Ohio State,2015
52,2,Arizona,2015
53,1,Wisconsin,2015
54,4,UNC,2015
55,6,Xavier,2015
56,2,Arizona,2015
57,1,Wisconsin,2015
58,2,Arizona,2015
59,1,Wisconsin,2015
60,1,Duke,2015
61,1,Wisconsin,2015
62,1,Duke,2015
0,1,UNC,2016
1,9,Providence,2016
2,5,Indiana,2016
3,4,Kentucky,2016
4,6,Notre Dame,2016
5,14,Stephen F. Austin,2016
6,7,Wisconsin,2016
7,2,Xavier,2016
8,1,UNC,2016
9,5,Indiana,2016
10,6,Notre Dame,2016
11,7,Wisconsin,2016
12,1,UNC,2016
13,6,Notre Dame,2016
14,1,UNC,2016
15,1,Kansas,2016
16,9,UConn,2016
17,5,Maryland,2016
18,13,Hawaii,2016
19,11,Wichita State,2016
20,3,Miami (FL),2016
21,7,Iowa,2016
22,2,Villanova,2016
23,1,Kansas,2016
24,5,Maryland,2016
25,3,Miami (FL),2016
26,2,Villanova,2016
27,1,Kansas,2016
28,2,Villanova,2016
29,2,Villanova,2016
30,1,Oregon,2016
31,8,St. Joseph's,2016
32,12,Yale,2016
33,4,Duke,2016
34,11,Northern Iowa,2016
35,3,Texas A&M,2016
36,10,VCU,2016
37,2,Oklahoma,2016
38,1,Oregon,2016
39,4,Duke,2016
40,3,Texas A&M,2016
41,2,Oklahoma,2016
42,1,Oregon,2016
43,2,Oklahoma,2016
44,2,Oklahoma,2016
45,1,Virginia,2016
46,9,Butler,2016
47,12,Little Rock,2016
48,4,Iowa State,2016
49,11,Gonzaga,2016
50,3,Utah,2016
51,10,Syracuse,2016
52,15,Middle Tennessee,2016
53,1,Virginia,2016
54,4,Iowa State,2016
55,11,Gonzaga,2016
56,10,Syracuse,2016
57,1,Virginia,2016
58,10,Syracuse,2016
59,10,Syracuse,2016
60,2,Villanova,2016
61,1,UNC,2016
62,2,Villanova,2016
0,1,Villanova,2017
1,8,Wisconsin,2017
2,5,Virginia,2017
3,4,Florida,2017
4,11,USC,2017
5,3,Baylor,2017
6,7,South Carolina,2017
7,2,Duke,2017
8,8,Wisconsin,2017
9,4,Florida,2017
10,3,Baylor,2017
11,7,South Carolina,2017
12,4,Florida,2017
13,7,South Carolina,2017
14,7,South Carolina,2017
15,1,Kansas,2017
16,9,Michigan State,2017
17,5,Iowa State,2017
18,4,Purdue,2017
19,11,Rhode Island,2017
20,3,Oregon,2017
21,7,Michigan,2017
22,2,Louisville,2017
23,1,Kansas,2017
24,4,Purdue,2017
25,3,Oregon,2017
26,7,Michigan,2017
27,1,Kansas,2017
28,3,Oregon,2017
29,3,Oregon,2017
30,1,UNC,2017
31,8,Arkansas,2017
32,12,Middle Tennessee,2017
33,4,Butler,2017
34,6,Cincinnati,2017
35,3,UCLA,2017
36,10,Wichita State,2017
37,2,Kentucky,2017
38,1,UNC,2017
39,4,Butler,2017
40,3,UCLA,2017
41,2,Kentucky,2017
42,1,UNC,2017
43,2,Kentucky,2017
44,1,UNC,2017
45,1,Gonzaga,2017
46,8,Northwestern,2017
47,5,Notre Dame,2017
48,4,West Virginia,2017
49,11,Xavier,2017
50,3,Florida State,2017
51,7,Saint Mary's,2017
52,2,Arizona,2017
53,1,Gonzaga,2017
54,4,West Virginia,2017
55,11,Xavier,2017
56,2,Arizona,2017
57,1,Gonzaga,2017
58,11,Xavier,2017
59,1,Gonzaga,2017
60,1,UNC,2017
61,1,Gonzaga,2017
62,1,UNC,2017
0,1,Villanova,2018
1,9,Alabama,2018
2,5,West Virginia,2018
3,13,Marshall,2018
4,6,Florida,2018
5,3,Texas Tech,2018
6,10,Butler,2018
7,2,Purdue,2018
8,1,Villanova,2018
9,5,West Virginia,2018
10,3,Texas Tech,2018
11,2,Purdue,2018
12,1,Villanova,2018
13,3,Texas Tech,2018
14,1,Villanova,2018
15,1,Kansas,2018
16,8,Seton Hall,2018
17,5,Clemson,2018
18,4,Auburn,2018
19,11,Syracuse,2018
20,3,Michigan State,2018
21,7,Rhode Island,2018
22,2,Duke,2018
23,1,Kansas,2018
24,5,Clemson,2018
25,11,Syracuse,2018
26,2,Duke,2018
27,1,Kansas,2018
28,2,Duke,2018
29,1,Kansas,2018
30,1,Xavier,2018
31,9,Florida State,2018
32,5,Ohio State,2018
33,4,Gonzaga,2018
34,6,Houston,2018
35,3,Michigan,2018
36,7,Texas A&M,2018
37,2,UNC,2018
38,9,Florida State,2018
39,4,Gonzaga,2018
40,3,Michigan,2018
41,7,Texas A&M,2018
42,9,Florida State,2018
43,3,Michigan,2018
44,3,Michigan,2018
45,16,UMBC,2018
46,9,Kansas State,2018
47,5,Kentucky,2018
48,13,Buffalo,2018
49,11,Loyola (IL),2018
50,3,Tennessee,2018
51,7,Nevada,2018
52,2,Cincinnati,2018
53,9,Kansas State,2018
54,5,Kentucky,2018
55,11,Loyola (IL),2018
56,7,Nevada,2018
57,9,Kansas State,2018
58,11,Loyola (IL),2018
59,11,Loyola (IL),2018
60,1,Villanova,2018
61,3,Michigan,2018
62,1,Villanova,2018
0,1,Duke,2019
1,9,UCF,2019
2,12,Liberty,2019
3,4,Virginia Tech,2019
4,6,Maryland,2019
5,3,LSU,2019
6,10,Minnesota,2019
7,2,Michigan State,2019
8,1,Duke,2019
9,4,Virginia Tech,2019
10,3,LSU,2019
11,2,Michigan State,2019
12,1,Duke,2019
13,2,Michigan State,2019
14,2,Michigan State,2019
15,1,Gonzaga,2019
16,9,Baylor,2019
17,12,Murray State,2019
18,4,Florida State,2019
19,6,Buffalo,2019
20,3,Texas Tech,2019
21,10,Florida,2019
22,2,Michigan,2019
23,1,Gonzaga,2019
24,4,Florida State,2019
25,3,Texas Tech,2019
26,2,Michigan,2019
27,1,Gonzaga,2019
28,3,Texas Tech,2019
29,3,Texas Tech,2019
30,1,UNC,2019
31,9,Washington,2019
32,5,Auburn,2019
33,4,Kansas,2019
34,11,Ohio State,2019
35,3,Houston,2019
36,7,Wofford,2019
37,2,Kentucky,2019
38,1,UNC,2019
39,5,Auburn,2019
40,3,Houston,2019
41,2,Kentucky,2019
42,5,Auburn,2019
43,2,Kentucky,2019
44,5,Auburn,2019
45,1,Virginia,2019
46,9,Oklahoma,2019
47,12,Oregon,2019
48,13,UC-Irvine,2019
49,6,Villanova,2019
50,3,Purdue,2019
51,10,Iowa,2019
52,2,Tennessee,2019
53,1,Virginia,2019
54,12,Oregon,2019
55,3,Purdue,2019
56,2,Tennessee,2019
57,1,Virginia,2019
58,3,Purdue,2019
59,1,Virginia,2019
60,1,Virginia,2019
61,3,Texas Tech,2019
62,1,Virginia,2019
